Home > Away,Season Start,Label,More Home than Away,HOME V AWAY,Home < Away,Number of Records,Home Attendance,Home Games,Rank,Road Attendance,Road Games,Season,Team,Total Attendance,Total Games
,1/1/2017,0,0,-85571,Road,1,639063,41,25,724634,41,2017-18,Colorado,1363697,82
,1/1/2010,0,0,-259124,Road,1,453456,41,30,712580,41,2010-11,NY Islanders,1166036,82
Home,1/1/2009,0,1,167747,,1,854267,40,1,686520,40,2009-10,Chicago,1540787,80
Home,1/1/2009,0,1,162811,,1,872193,41,2,709382,41,2009-10,Montreal,1581575,82
Home,1/1/2009,0,1,65087,,1,781847,40,3,716760,40,2009-10,Detroit,1498607,80
Home,1/1/2009,0,1,127766,,1,800966,41,4,673200,40,2009-10,Philadelphia,1474166,81
Home,1/1/2009,0,1,99958,,1,790849,41,5,690891,41,2009-10,Calgary,1481740,82
Home,1/1/2009,0,1,88048,,1,789681,41,6,701633,41,2009-10,Toronto,1491314,82
Home,1/1/2009,0,1,87722,,1,755322,40,7,667600,40,2009-10,St. Louis,1422922,80
Home,1/1/2009,0,1,68798,,1,771210,41,8,702412,41,2009-10,Vancouver,1473622,82
Home,1/1/2009,0,1,60071,,1,759695,41,9,699624,41,2009-10,Buffalo,1459319,82
,1/1/2017,0,0,-85649,Road,1,628161,41,26,713810,41,2017-18,Winnipeg,1341971,82
Home,1/1/2009,0,1,56538,,1,755055,41,10,698517,41,2009-10,Minnesota,1453572,82
Home,1/1/2009,0,1,49487,,1,749357,41,11,699870,41,2009-10,Washington,1449227,82
Home,1/1/2009,0,1,63295,,1,749061,41,12,685766,41,2009-10,Ottawa,1434827,82
Home,1/1/2009,0,1,14075,,1,741128,41,13,727053,41,2009-10,NY Rangers,1468181,82
Home,1/1/2009,0,1,30530,,1,719904,41,14,689374,41,2009-10,San Jose,1409278,82
,1/1/2009,0,0,-27943,Road,1,695543,40,15,723486,41,2009-10,Boston,1419029,81
Home,1/1/2009,0,1,35813,,1,709853,41,16,674040,41,2009-10,Los Angeles,1383893,82
Home,1/1/2009,0,1,17140,,1,705817,41,17,688677,41,2009-10,Dallas,1394494,82
,1/1/2009,0,0,-46194,Road,1,700211,41,18,746405,41,2009-10,Pittsburgh,1446616,82
Home,1/1/2009,0,1,1517,,1,690399,41,19,688882,41,2009-10,Edmonton,1379281,82
,1/1/2017,0,0,-92415,Road,1,623240,41,27,715655,41,2017-18,New Jersey,1338895,82
,1/1/2009,0,0,-78639,Road,1,636975,41,20,715614,41,2009-10,New Jersey,1352589,82
,1/1/2009,0,0,-49312,Road,1,635388,41,21,684700,41,2009-10,Tampa Bay,1320088,82
,1/1/2009,0,0,-67251,Road,1,632086,41,22,699337,41,2009-10,Columbus,1331423,82
,1/1/2009,0,0,-47158,Road,1,624873,41,23,672031,41,2009-10,Carolina,1296904,82
,1/1/2009,0,0,-69890,Road,1,621903,41,24,691793,41,2009-10,Anaheim,1313696,82
,1/1/2009,0,0,-53937,Road,1,605863,40,25,659800,40,2009-10,Florida,1265663,80
,1/1/2009,0,0,-78880,Road,1,614143,41,26,693023,41,2009-10,Nashville,1307166,82
,1/1/2009,0,0,-146430,Road,1,571849,41,27,718279,41,2009-10,Colorado,1290128,82
,1/1/2009,0,0,-147631,Road,1,557897,41,28,705528,41,2009-10,Winnipeg,1263425,82
,1/1/2009,0,0,-177702,Road,1,522168,41,29,699870,41,2009-10,NY Islanders,1222038,82
,1/1/2017,0,0,-128242,Road,1,567897,41,28,696139,41,2017-18,Florida,1264036,82
,1/1/2009,0,0,-204868,Road,1,491558,41,30,696426,41,2009-10,Arizona,1187984,82
Home,1/1/2008,0,1,192810,,1,912155,41,1,719345,41,2008-09,Chicago,1631500,82
Home,1/1/2008,0,1,143869,,1,872193,41,2,728324,41,2008-09,Montreal,1600517,82
Home,1/1/2008,0,1,42526,,1,814474,41,3,771948,41,2008-09,Detroit,1586422,82
Home,1/1/2008,0,1,82068,,1,801372,41,4,719304,41,2008-09,Philadelphia,1520676,82
Home,1/1/2008,0,1,81634,,1,791795,41,5,710161,41,2008-09,Toronto,1501956,82
Home,1/1/2008,0,1,82656,,1,790849,41,6,708193,41,2008-09,Calgary,1499042,82
Home,1/1/2008,0,1,65187,,1,776947,41,7,711760,41,2008-09,Ottawa,1488707,82
Home,1/1/2008,0,1,61459,,1,763830,41,8,702371,41,2008-09,Vancouver,1466201,82
Home,1/1/2008,0,1,60147,,1,761288,41,9,701141,41,2008-09,Minnesota,1462429,82
,1/1/2017,0,0,-157254,Road,1,546142,41,29,703396,41,2017-18,Carolina,1249538,82
Home,1/1/2008,0,1,55819,,1,760732,41,10,704913,41,2008-09,St. Louis,1465645,82
Home,1/1/2008,0,1,41027,,1,759798,41,11,718771,41,2008-09,Buffalo,1478569,82
Home,1/1/2008,0,1,13071,,1,745085,41,12,732014,41,2008-09,NY Rangers,1477099,82
Home,1/1/2008,0,1,26665,,1,741992,41,13,715327,41,2008-09,Washington,1457319,82
Home,1/1/2008,0,1,29510,,1,724911,41,14,695401,41,2008-09,Dallas,1420312,82
,1/1/2008,0,0,-7529,Road,1,717023,41,15,724552,41,2008-09,San Jose,1441575,82
,1/1/2008,0,0,-45758,Road,1,698638,41,16,744396,41,2008-09,Boston,1443034,82
,1/1/2008,0,0,-20912,Road,1,696629,41,17,717541,41,2008-09,Anaheim,1414170,82
,1/1/2008,0,0,-41675,Road,1,695997,41,18,737672,41,2008-09,Pittsburgh,1433669,82
,1/1/2008,0,0,-15293,Road,1,690399,41,19,705692,41,2008-09,Edmonton,1396091,82
,1/1/2017,0,0,-181231,Road,1,534670,41,30,715901,41,2017-18,Arizona,1250571,82
,1/1/2008,0,0,-22678,Road,1,679488,41,20,702166,41,2008-09,Carolina,1381654,82
,1/1/2008,0,0,-20960,Road,1,676409,41,21,697369,41,2008-09,Tampa Bay,1373778,82
,1/1/2008,0,0,-38465,Road,1,676042,41,22,714507,41,2008-09,Los Angeles,1390549,82
,1/1/2008,0,0,-80148,Road,1,647397,41,23,727545,41,2008-09,New Jersey,1374942,82
,1/1/2008,0,0,-58062,Road,1,640496,41,24,698558,41,2008-09,Florida,1339054,82
,1/1/2008,0,0,-83619,Road,1,637284,41,25,720903,41,2008-09,Columbus,1358187,82
,1/1/2008,0,0,-72803,Road,1,632602,41,26,705405,41,2008-09,Colorado,1338007,82
,1/1/2008,0,0,-105505,Road,1,615439,41,27,720944,41,2008-09,Nashville,1336383,82
,1/1/2008,0,0,-100049,Road,1,609907,41,28,709956,41,2008-09,Arizona,1319863,82
,1/1/2008,0,0,-103231,Road,1,599673,41,29,702904,41,2008-09,Winnipeg,1302577,82
Home,1/1/2017,0,1,82820,,1,800115,41,4,717295,41,2017-18,Detroit,1517410,82
,1/1/2017,0,0,-230498,Road,1,492086,41,31,722584,41,2017-18,NY Islanders,1214670,82
,1/1/2008,0,0,-161208,Road,1,564697,41,30,725905,41,2008-09,NY Islanders,1290602,82
Home,1/1/2007,0,1,152643,,1,872193,41,1,719550,41,2007-08,Montreal,1591743,82
Home,1/1/2007,0,1,96028,,1,817956,41,2,721928,41,2007-08,Buffalo,1539884,82
Home,1/1/2007,0,1,124480,,1,812665,41,3,688185,41,2007-08,Ottawa,1500850,82
Home,1/1/2007,0,1,91800,,1,801797,41,4,709997,41,2007-08,Philadelphia,1511794,82
Home,1/1/2007,0,1,71103,,1,796803,41,5,725700,41,2007-08,Toronto,1522503,82
Home,1/1/2007,0,1,99589,,1,790849,41,6,691260,41,2007-08,Calgary,1482109,82
Home,1/1/2007,0,1,31801,,1,773696,41,7,741895,41,2007-08,Detroit,1515591,82
Home,1/1/2007,0,1,91552,,1,766412,41,8,674860,41,2007-08,Tampa Bay,1441272,82
Home,1/1/2007,0,1,64124,,1,763830,41,9,699706,41,2007-08,Vancouver,1463536,82
Home,1/1/2016,0,1,129842,,1,891827,41,1,761985,41,2016-17,Chicago,1653812,82
Home,1/1/2007,0,1,52398,,1,761288,41,10,708890,41,2007-08,Minnesota,1470178,82
Home,1/1/2007,0,1,8610,,1,746200,41,11,737590,41,2007-08,NY Rangers,1483790,82
Home,1/1/2007,0,1,60338,,1,739585,41,12,679247,41,2007-08,Dallas,1418832,82
Home,1/1/2007,0,1,15919,,1,722021,41,13,706102,41,2007-08,St. Louis,1428123,82
Home,1/1/2007,0,1,20471,,1,713863,41,14,693392,41,2007-08,San Jose,1407255,82
Home,1/1/2007,0,1,757,,1,704932,41,15,704175,41,2007-08,Anaheim,1409107,82
,1/1/2007,0,0,-78945,Road,1,700137,41,16,779082,41,2007-08,Pittsburgh,1479219,82
,1/1/2007,0,0,-18625,Road,1,690552,41,17,709177,41,2007-08,Colorado,1399729,82
,1/1/2007,0,0,-6150,Road,1,690399,41,18,696549,41,2007-08,Edmonton,1386948,82
,1/1/2007,0,0,-21686,Road,1,689377,41,19,711063,41,2007-08,Chicago,1400440,82
Home,1/1/2016,0,1,158916,,1,872808,41,2,713892,41,2016-17,Montreal,1586700,82
,1/1/2007,0,0,-20942,Road,1,681962,41,20,702904,41,2007-08,Carolina,1384866,82
,1/1/2007,0,0,-10219,Road,1,680877,41,21,691096,41,2007-08,Los Angeles,1371973,82
,1/1/2007,0,0,-53167,Road,1,649081,41,22,702248,41,2007-08,Winnipeg,1351329,82
,1/1/2007,0,0,-82144,Road,1,638144,41,23,720288,41,2007-08,New Jersey,1358432,82
,1/1/2007,0,0,-87014,Road,1,634381,41,24,721395,41,2007-08,Washington,1355776,82
,1/1/2007,0,0,-58338,Road,1,632881,41,25,691219,41,2007-08,Florida,1324100,82
,1/1/2007,0,0,-111883,Road,1,630750,41,26,742633,41,2007-08,Boston,1373383,82
,1/1/2007,0,0,-99202,Road,1,611328,41,27,710530,41,2007-08,Nashville,1321858,82
,1/1/2007,0,0,-87275,Road,1,607757,41,28,695032,41,2007-08,Columbus,1302789,82
,1/1/2007,0,0,-81244,Road,1,607638,41,29,688882,41,2007-08,Arizona,1296520,82
Home,1/1/2016,0,1,66584,,1,821107,41,3,754523,41,2016-17,Detroit,1575630,82
,1/1/2007,0,0,-164239,Road,1,559247,41,30,723486,41,2007-08,NY Islanders,1282733,82
Home,1/1/2006,0,1,177612,,1,872193,41,1,694581,41,2006-07,Montreal,1566774,82
Home,1/1/2006,0,1,129478,,1,822706,41,2,693228,41,2006-07,Detroit,1515934,82
Home,1/1/2006,0,1,126185,,1,814944,41,3,688759,41,2006-07,Tampa Bay,1503703,82
Home,1/1/2006,0,1,95380,,1,798981,41,4,703601,41,2006-07,Toronto,1502582,82
Home,1/1/2006,0,1,99280,,1,794271,41,5,694991,41,2006-07,Ottawa,1489262,82
Home,1/1/2006,0,1,91676,,1,790849,41,6,699173,41,2006-07,Calgary,1490022,82
Home,1/1/2006,0,1,107613,,1,790591,41,7,682978,41,2006-07,Philadelphia,1473569,82
Home,1/1/2006,0,1,43460,,1,766290,41,8,722830,41,2006-07,Buffalo,1489120,82
Home,1/1/2006,0,1,61090,,1,763830,41,9,702740,41,2006-07,Vancouver,1466570,82
Home,1/1/2016,0,1,78710,,1,810273,41,4,731563,41,2016-17,Pittsburgh,1541836,82
Home,1/1/2006,0,1,68446,,1,760280,41,10,691834,41,2006-07,Minnesota,1452114,82
Home,1/1/2006,0,1,13735,,1,746200,41,11,732465,41,2006-07,NY Rangers,1478665,82
Home,1/1/2006,0,1,48578,,1,734508,41,12,685930,41,2006-07,Dallas,1420438,82
Home,1/1/2006,0,1,14918,,1,722127,41,13,707209,41,2006-07,Colorado,1429336,82
Home,1/1/2006,0,1,46795,,1,714316,41,14,667521,41,2006-07,San Jose,1381837,82
Home,1/1/2006,0,1,16558,,1,712861,41,15,696303,41,2006-07,Carolina,1409164,82
Home,1/1/2006,0,1,13089,,1,691229,41,16,678140,41,2006-07,Los Angeles,1369369,82
