Mortality Rate,2013 Survival Rate,Cancer Type,Use Me,Gender,Number of Records,Race,Survival Rate,Year
0.211,,Breast,total,total,1,Black,0.789,2001
0.221,,Breast,total,total,1,Black,0.779,2006
0.173,0.827,Breast,total,total,1,Black,0.827,2013
0.37,,Breast,females,females,1,White,0.63,1963
0.32,,Breast,females,females,1,White,0.68,1973
0.244,,Breast,females,females,1,White,0.756,1977
0.249,,Breast,females,females,1,White,0.751,1980
0.229,,Breast,females,females,1,White,0.771,1983
0.2,,Breast,females,females,1,White,0.8,1986
0.149,,Breast,females,females,1,White,0.851,1989
0.135,,Breast,females,females,1,White,0.865,1992
0.124,,Breast,females,females,1,White,0.876,1995
0.106,,Breast,females,females,1,White,0.894,1998
0.092,,Breast,females,females,1,White,0.908,2001
0.083,,Breast,females,females,1,White,0.917,2006
0.078,0.922,Breast,females,females,1,White,0.922,2013
0.37,,Breast,total,total,1,White,0.63,1963
0.32,,Breast,total,total,1,White,0.68,1973
0.244,,Breast,total,total,1,White,0.756,1977
0.249,,Breast,total,total,1,White,0.751,1980
0.229,,Breast,total,total,1,White,0.771,1983
0.2,,Breast,total,total,1,White,0.8,1986
0.149,,Breast,total,total,1,White,0.851,1989
0.135,,Breast,total,total,1,White,0.865,1992
0.124,,Breast,total,total,1,White,0.876,1995
0.106,,Breast,total,total,1,White,0.894,1998
0.092,,Breast,total,total,1,White,0.908,2001
0.083,,Breast,total,total,1,White,0.917,2006
0.078,0.922,Breast,total,total,1,White,0.922,2013
0.309,,Cervix uteri,females,females,1,All races,0.691,1977
0.326,,Cervix uteri,females,females,1,All races,0.674,1980
0.331,,Cervix uteri,females,females,1,All races,0.669,1983
0.328,,Cervix uteri,females,females,1,All races,0.672,1986
0.299,,Cervix uteri,females,females,1,All races,0.701,1989
0.304,,Cervix uteri,females,females,1,All races,0.696,1992
0.274,,Cervix uteri,females,females,1,All races,0.726,1995
0.274,,Cervix uteri,females,females,1,All races,0.726,1998
0.276,,Cervix uteri,females,females,1,All races,0.724,2001
0.305,,Cervix uteri,females,females,1,All races,0.695,2006
0.312,0.688,Cervix uteri,females,females,1,All races,0.688,2013
0.309,,Cervix uteri,total,total,1,All races,0.691,1977
0.326,,Cervix uteri,total,total,1,All races,0.674,1980
0.331,,Cervix uteri,total,total,1,All races,0.669,1983
0.328,,Cervix uteri,total,total,1,All races,0.672,1986
0.299,,Cervix uteri,total,total,1,All races,0.701,1989
0.304,,Cervix uteri,total,total,1,All races,0.696,1992
0.274,,Cervix uteri,total,total,1,All races,0.726,1995
0.274,,Cervix uteri,total,total,1,All races,0.726,1998
0.276,,Cervix uteri,total,total,1,All races,0.724,2001
0.305,,Cervix uteri,total,total,1,All races,0.695,2006
0.312,0.688,Cervix uteri,total,total,1,All races,0.688,2013
0.53,,Cervix uteri,females,females,1,Black,0.47,1963
0.39,,Cervix uteri,females,females,1,Black,0.61,1973
0.354,,Cervix uteri,females,females,1,Black,0.646,1977
0.39,,Cervix uteri,females,females,1,Black,0.61,1980
0.408,,Cervix uteri,females,females,1,Black,0.592,1983
0.421,,Cervix uteri,females,females,1,Black,0.579,1986
0.43,,Cervix uteri,females,females,1,Black,0.57,1989
0.419,,Cervix uteri,females,females,1,Black,0.581,1992
0.372,,Cervix uteri,females,females,1,Black,0.628,1995
0.352,,Cervix uteri,females,females,1,Black,0.648,1998
0.34,,Cervix uteri,females,females,1,Black,0.66,2001
0.374,,Cervix uteri,females,females,1,Black,0.626,2006
0.417,0.583,Cervix uteri,females,females,1,Black,0.583,2013
0.53,,Cervix uteri,total,total,1,Black,0.47,1963
0.39,,Cervix uteri,total,total,1,Black,0.61,1973
0.354,,Cervix uteri,total,total,1,Black,0.646,1977
0.39,,Cervix uteri,total,total,1,Black,0.61,1980
0.408,,Cervix uteri,total,total,1,Black,0.592,1983
